spotify_id,title,artist,album,release_date,popularity,0
7cMJin9pGEH4MHVWcDytHg,Pyaar Pyaar,Dino James,D,2022-05-24,46.0,
39m83gjG1lNr7Un0dJndFw,Wishlist,"Dino James, Kaprila",Wishlist (feat. Kaprila),2020-03-20,56.0,
3OG9ElLzOj1jSF5eIUuUSU,Chamkeele Chuze,Dino James,Chamkeele Chooje,2020-05-10,31.0,
7wSjGKRzJ1qEOd8ya3XP6G,Lost,Dino James,D,2022-05-24,50.0,
7sHzloYlLclhNKVIWDvv7M,Jealous,"Dino James, Kaprila",D,2022-05-24,45.0,
2SpyMPdxSmYzC05JgXyUVu,Tere Naam Sahare,Dino James,Tere Naam Sahare,2020-04-07,32.0,
3YDDzFCzKFTgvO25aTestt,Chosen,Dino James,D,2022-05-24,35.0,
6h7czIhlQUczhKL53ZgyFk,KAALIA,Dino James,Kaalia,2017-05-05,23.0,
7mWRXjNACrDySRXSmY9H80,D N Me,Dino James,D,2022-05-24,33.0,
7KRc5CTaL6xVlxsBxBCnvH,Plastic,Dino James,Plastic,2021-05-28,35.0,
4JVivLxkFjJK3T7oLHeSJn,Sunn,"Dino James, Sanah Moidutty",Sunn,2021-01-21,38.0,
3sDnX4sCgwNUtXy2tXm97B,MAA,Dino James,Maa,2017-05-14,24.0,
0wAoyuiqRlfkDUfVN9j3Kd,Nidarr,Dino James,Nidarr,2019-08-30,49.0,
5kOZgEk1I6k2oc7vfZTnyQ,Keede,Dino James,Keede,2021-03-19,41.0,
0VtIUHWRlv0WS6mg2vzUVJ,Bhokali,Dino James,Bhokali,2019-01-28,33.0,
1Ew6mq1hRg410eE3uO9op7,Arambol,"Dino James, Nikhita Gandhi",D,2022-05-24,29.0,
2GowXb6JMHvpKbpcz5AZNi,Feel Hai Ki Nahi,Dino James,Feel Hai Ki Nahi,2021-01-21,32.0,
7AUCBS9UZcD1TZZDisCTUp,Sound De,Dino James,Sound De,2021-08-03,19.0,
6I7qz19J2Xl9cDF3MppHC7,Chemicals,"Dino James, Kaprila",Chemicals,2021-01-19,32.0,
